Componente,Varianza_Explicada,Varianza_Acumulada
1,0.4427202560752636,0.4427202560752636
2,0.18971182044033066,0.6324320765155943
3,0.09393163257431388,0.7263637090899082
4,0.0660213491547015,0.7923850582446097
5,0.054957684923462605,0.8473427431680723
6,0.04024522039883347,0.8875879635669058
7,0.02250733712982508,0.910095300696731
8,0.015887238000213286,0.9259825386969442
9,0.013896493745591126,0.9398790324425353
10,0.011689781894131501,0.9515688143366668
11,0.00979718987598018,0.9613660042126471
12,0.008705379007378828,0.9700713832200258
13,0.008045249871967291,0.9781166330919931
14,0.0052336574549263284,0.9833502905469195
15,0.003137832167627403,0.9864881227145469
16,0.0026620933651523146,0.9891502160796992
17,0.001979967925324297,0.9911301840050235
18,0.0017539594502263803,0.9928841434552499
19,0.0016492530592251797,0.994533396514475
20,0.0010386467483387075,0.9955720432628138
21,0.0009990964637002421,0.996571139726514
22,0.0009146467510543372,0.9974857864775684
23,0.0008113612588991106,0.9982971477364675
24,0.0006018335666716465,0.9988989813031391
25,0.0005160423791651904,0.9994150236823043
26,0.00027258799547748183,0.9996876116777818
27,0.00023001546250597013,0.9999176271402878
28,5.297792903811112e-05,0.9999706050693259
29,2.4960103246897907e-05,0.9999955651725728
30,4.434827427367554e-06,1.0000000000000002
